GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sling Commons,io.wcm.sling.commons.adapter,AdaptTo,0,14,0,2,0,4,0,2,0,1
Sling Commons,io.wcm.sling.commons.adapter,UnableToAdaptException,0,28,0,0,0,6,0,3,0,3
Sling Commons,io.wcm.sling.commons.request,RequestPath,0,40,0,8,0,8,0,6,0,2
Sling Commons,io.wcm.sling.commons.request,QueryStringBuilder.NameValuePair,0,22,0,2,0,8,0,4,0,3
Sling Commons,io.wcm.sling.commons.request,RequestParam,3,200,4,24,2,50,4,29,0,19
Sling Commons,io.wcm.sling.commons.request,QueryStringBuilder,0,151,0,20,0,32,0,15,0,5
Sling Commons,io.wcm.sling.commons.util,Escape,8,201,2,30,3,32,2,21,0,7
Sling Commons,io.wcm.sling.commons.osgi,RankedServices,4,74,0,2,1,23,1,7,1,6
Sling Commons,io.wcm.sling.commons.caservice.impl,ContextAwareServiceResolverImpl.new CacheLoader() {...},0,17,0,0,0,2,0,2,0,2
Sling Commons,io.wcm.sling.commons.caservice.impl,ContextAwareServiceResolverImpl.new RemovalListener() {...},0,11,0,0,0,3,0,2,0,2
Sling Commons,io.wcm.sling.commons.caservice.impl,ContextAwareServiceResolverImpl,45,177,8,10,6,39,7,20,1,17
Sling Commons,io.wcm.sling.commons.caservice.impl,ContextAwareServiceInventoryPrinter,78,0,10,0,21,0,7,0,2,0
Sling Commons,io.wcm.sling.commons.caservice.impl,ServiceInfo,56,241,11,27,13,54,8,25,1,13
Sling Commons,io.wcm.sling.commons.caservice.impl,ContextAwareServiceTracker,20,130,5,9,5,34,7,12,2,10
Sling Commons,io.wcm.sling.commons.caservice.impl,ResolveAllResultImpl,0,17,0,0,0,6,0,3,0,3
Sling Commons,io.wcm.sling.commons.caservice.impl,ServiceInfo.new ToStringStyle() {...},0,9,0,0,0,4,0,1,0,1
Sling Commons,io.wcm.sling.commons.resource,ImmutableValueMap.Builder,0,42,0,2,0,10,0,6,0,5
Sling Commons,io.wcm.sling.commons.resource,ResourcePath,0,15,0,4,0,3,0,3,0,1
Sling Commons,io.wcm.sling.commons.resource,NameResourceComparator,0,22,0,6,0,8,0,5,0,2
Sling Commons,io.wcm.sling.commons.resource,ResourceType,27,147,6,28,6,34,5,18,0,6
Sling Commons,io.wcm.sling.commons.resource,ImmutableValueMap,6,189,1,3,2,34,2,27,1,26
Sling Commons,io.wcm.sling.commons.request.impl,RequestContextFilterImpl,2,40,1,3,2,11,3,5,2,4
