GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WCM Commons,io.wcm.wcm.commons.bundleinfo,BundleState,2,125,1,3,1,16,1,5,0,4
WCM Commons,io.wcm.wcm.commons.ui,DenyWcmDisabled,0,13,0,2,0,4,0,3,0,2
WCM Commons,io.wcm.wcm.commons.controller,VersionInfo,22,98,0,4,4,27,0,13,0,11
WCM Commons,io.wcm.wcm.commons.controller,WcmInit,0,55,0,6,0,14,0,8,0,5
WCM Commons,io.wcm.wcm.commons.controller,EditableTemplateSupport,0,15,0,2,0,5,0,4,0,3
WCM Commons,io.wcm.wcm.commons.caching,PageModificationDateProvider,0,10,0,0,0,4,0,2,0,2
WCM Commons,io.wcm.wcm.commons.caching,ResourceModificationDateProvider,0,10,0,0,0,4,0,2,0,2
WCM Commons,io.wcm.wcm.commons.caching,ModificationDate,0,157,1,23,0,35,1,18,0,7
WCM Commons,io.wcm.wcm.commons.caching,CacheHeader,19,156,3,13,4,43,4,16,1,11
WCM Commons,io.wcm.wcm.commons.util,EditableTemplate,6,145,7,23,3,30,7,11,0,3
WCM Commons,io.wcm.wcm.commons.util,ToStringStyle.DefaultToStringStyle,13,67,2,10,4,18,3,9,2,4
WCM Commons,io.wcm.wcm.commons.util,ToStringStyle,0,5,0,0,0,1,0,1,0,1
WCM Commons,io.wcm.wcm.commons.util,Template,8,235,9,47,4,45,9,27,0,8
WCM Commons,io.wcm.wcm.commons.util,RunMode,0,165,2,16,0,28,2,13,0,6
WCM Commons,io.wcm.wcm.commons.util,Path,0,198,2,30,0,52,2,23,0,9
WCM Commons,io.wcm.wcm.commons.contenttype,ContentType,51,0,0,0,5,0,1,0,1,0
WCM Commons,io.wcm.wcm.commons.contenttype,FileExtension,4,30,0,4,2,8,2,5,2,3
WCM Commons,io.wcm.wcm.commons.component.impl,ComponentPropertyResolverFactoryImpl,0,32,0,0,0,5,0,5,0,5
WCM Commons,io.wcm.wcm.commons.component,ComponentPropertyResolution,0,34,0,0,0,4,0,1,0,1
WCM Commons,io.wcm.wcm.commons.component,ComponentPropertyResolver,21,480,9,77,8,128,9,62,1,27
WCM Commons,io.wcm.wcm.commons.filter,TemplatePageFilter,6,31,1,3,2,7,2,3,1,2
WCM Commons,io.wcm.wcm.commons.caservice.impl,WcmPathPreprocessor,7,0,0,0,2,0,2,0,2,0
WCM Commons,io.wcm.wcm.commons.bundleinfo.impl,BundleInfoServiceImpl,0,27,0,0,0,6,0,5,0,5
WCM Commons,io.wcm.wcm.commons.bundleinfo.impl,BundleInfoImpl,26,76,3,3,8,17,6,9,4,8
